itinerary_id,price,flight_number,departure_time,arrival_time,number_of_stops,marketing_airline,operating_airline,is_self_transfer,Score,depart_date,depart_time,arrival_date,arrival_time_only,duration_in_hrs,origin_airport,destination_airport,flight_id,cabin_class_id
18467-2504011400--31722-0-10968-2504011634,"C$1,049",8130,2025-04-01 14:00,2025-04-01 16:34,0,Delta,Endeavor Air,False,0.715434,2025-04-01,14:00:00,2025-04-01,16:34:00,3.57,YYZ,DFW,FL8130,cc4
18467-2504011314--32573-1-10968-2504011741,C$670,4731,2025-04-01 13:14,2025-04-01 14:09,1,Delta,Delta,False,0.566809,2025-04-01,13:14:00,2025-04-01,14:09:00,1.92,YYZ,ORD,FL4731,cc4
18467-2504011314--32573-1-10968-2504011741,C$670,2257,2025-04-01 15:02,2025-04-01 17:41,1,Delta,Delta,False,0.566809,2025-04-01,15:02:00,2025-04-01,17:41:00,2.65,ORD,DFW,FL2257,cc4
18467-2504010615--32573-1-10968-2504011047,C$549,3524,2025-04-01 6:15,2025-04-01 7:30,1,Delta,Delta,False,0.78815,2025-04-01,6:15:00,2025-04-01,7:30:00,2.25,YYZ,ORD,FL3524,cc4
18467-2504010615--32573-1-10968-2504011047,C$549,481,2025-04-01 8:05,2025-04-01 10:47,1,Delta,Delta,False,0.78815,2025-04-01,8:05:00,2025-04-01,10:47:00,2.7,ORD,DFW,FL481,cc4
18467-2504011644--32573-1-10968-2504012133,C$549,3608,2025-04-01 16:44,2025-04-01 17:44,1,Delta,Delta,False,0.92173,2025-04-01,16:44:00,2025-04-01,17:44:00,2.0,YYZ,ORD,FL3608,cc4
18467-2504011644--32573-1-10968-2504012133,C$549,550,2025-04-01 18:45,2025-04-01 21:33,1,Delta,Delta,False,0.92173,2025-04-01,18:45:00,2025-04-01,21:33:00,2.8,ORD,DFW,FL550,cc4
"18390-2504020700--31954,-31825-2-10968-2504021735",C$253,2205,2025-04-02 7:00,2025-04-02 7:59,2,Delta,Delta,True,0.606563,2025-04-02,7:00:00,2025-04-02,7:59:00,0.98,YTZ,YOW,FL2205,cc1
"18390-2504021155--31954,-31825-2-10968-2504022254",C$263,611,2025-04-02 21:15,2025-04-02 22:54,2,Delta,Endeavor Air,True,0.462181,2025-04-02,21:15:00,2025-04-02,22:54:00,2.65,ATL,DFW,FL611,cc1
"18390-2504020900--31954,-31825-2-10968-2504022254",C$263,611,2025-04-02 21:15,2025-04-02 22:54,2,Delta,Delta,True,0.385329,2025-04-02,21:15:00,2025-04-02,22:54:00,2.65,ATL,DFW,FL611,cc1
18467-2504020615--32385-1-10910-2504021111,C$581,2662,2025-04-02 6:15,2025-04-02 8:49,1,Delta,Delta,False,0.539112,2025-04-02,6:15:00,2025-04-02,8:49:00,2.57,YYZ,ATL,FL2662,cc2
18467-2504020745--32385-1-10968-2504021249,C$581,2988,2025-04-02 7:45,2025-04-02 10:17,1,Delta,Delta,False,0.524352,2025-04-02,7:45:00,2025-04-02,10:17:00,2.53,YYZ,ATL,FL2988,cc2
18467-2504020745--32385-1-10968-2504021249,C$581,414,2025-04-02 11:20,2025-04-02 12:49,1,Delta,Endeavor Air,False,0.524352,2025-04-02,11:20:00,2025-04-02,12:49:00,2.48,ATL,DFW,FL414,cc2
18467-2504020745--32385-1-10968-2504021249,C$581,414,2025-04-02 11:20,2025-04-02 12:49,1,Delta,Endeavor Air,False,0.524352,2025-04-02,11:20:00,2025-04-02,12:49:00,2.48,YYZ,YUL,FL414,cc2
18467-2504020600--32385-1-10968-2504021158,C$560,5066,2025-04-02 6:00,2025-04-02 8:00,1,Delta,Delta,False,0.49634,2025-04-02,6:00:00,2025-04-02,8:00:00,2.0,YYZ,JFK,FL5066,cc2
18467-2504020600--32385-1-10968-2504021158,C$560,356,2025-04-02 8:45,2025-04-02 11:58,1,Delta,Delta,False,0.49634,2025-04-02,8:45:00,2025-04-02,11:58:00,4.22,JFK,DFW,FL356,cc2
18467-2504020745--32385-1-10968-2504021440,C$560,2988,2025-04-02 7:45,2025-04-02 10:17,1,Delta,Delta,False,0.482179,2025-04-02,7:45:00,2025-04-02,10:17:00,2.53,YYZ,ATL,FL2988,cc2
18467-2504020745--32385-1-10968-2504021440,C$560,921,2025-04-02 13:17,2025-04-02 14:40,1,Delta,Delta,False,0.482179,2025-04-02,13:17:00,2025-04-02,14:40:00,2.38,ATL,DFW,FL921,cc2
18467-2504020615--32385-2-10968-2504021440,C$560,921,2025-04-02 13:17,2025-04-02 14:40,2,Delta,Delta,False,0.492572,2025-04-02,13:17:00,2025-04-02,14:40:00,2.38,ATL,DFW,FL921,cc2
18467-2504021324--32573-0-10968-2504021614,C$527,3993,2025-04-02 13:24,2025-04-02 16:14,0,Delta,Delta,False,0.999,2025-04-02,13:24:00,2025-04-02,16:14:00,3.83,YYZ,DFW,FL3993,cc3
18467-2504021715--32573-0-10968-2504022010,C$527,1111,2025-04-02 17:15,2025-04-02 20:10,0,Delta,Delta,False,0.933064,2025-04-02,17:15:00,2025-04-02,20:10:00,3.92,YYZ,DFW,FL1111,cc3
18467-2504020645--32573-0-10968-2504020940,C$649,1169,2025-04-02 6:45,2025-04-02 9:40,0,Delta,Endeavor Air,False,0.795642,2025-04-02,6:45:00,2025-04-02,9:40:00,3.92,YYZ,DFW,FL1169,cc3
18467-2504021940--31722-0-10968-2504022214,C$596,8019,2025-04-02 19:40,2025-04-02 22:14,0,Delta,Delta,False,0.999,2025-04-02,19:40:00,2025-04-02,22:14:00,3.57,YYZ,DFW,FL8019,cc4
18467-2504021400--31722-0-10968-2504021634,C$827,8130,2025-04-02 14:00,2025-04-02 16:34,0,American Airlines,American Airlines,False,0.730022,2025-04-02,14:00:00,2025-04-02,16:34:00,3.57,YYZ,DFW,FL8130,cc4
18467-2504020900--31722-1-10968-2504021332,C$618,1538,2025-04-02 9:00,2025-04-02 10:01,1,American Airlines,American Airlines,False,0.441401,2025-04-02,9:00:00,2025-04-02,10:01:00,2.02,YYZ,ORD,FL1538,cc4
18467-2504020900--31722-1-10968-2504021332,C$618,307,2025-04-02 10:45,2025-04-02 13:32,1,American Airlines,American Airlines,False,0.441401,2025-04-02,10:45:00,2025-04-02,13:32:00,2.78,ORD,DFW,FL307,cc4
18467-2504020615--32573-1-10968-2504021300,C$549,3524,2025-04-02 6:15,2025-04-02 7:30,1,Air Canada,Air Canada,False,0.452287,2025-04-02,6:15:00,2025-04-02,7:30:00,2.25,YYZ,ORD,FL3524,cc4
18467-2504020615--32573-1-10968-2504021300,C$549,1109,2025-04-02 10:15,2025-04-02 13:00,1,Air Canada,Air Canada,False,0.452287,2025-04-02,10:15:00,2025-04-02,13:00:00,2.75,ORD,DFW,FL1109,cc4
18467-2504021030--32573-1-10968-2504021749,C$549,4552,2025-04-02 10:30,2025-04-02 12:19,1,Air Canada,United,False,0.448386,2025-04-02,10:30:00,2025-04-02,12:19:00,1.82,YYZ,JFK,FL4552,cc4
18467-2504021030--32573-1-10968-2504021749,C$549,654,2025-04-02 14:35,2025-04-02 17:49,1,Air Canada,United,False,0.448386,2025-04-02,14:35:00,2025-04-02,17:49:00,4.23,JFK,DFW,FL654,cc4
"18390-2504030700--31954,-31825-2-10968-2504031735",C$284,2205,2025-04-03 7:00,2025-04-03 7:59,2,Air Canada,United,True,0.609193,2025-04-03,7:00:00,2025-04-03,7:59:00,0.98,YTZ,YOW,FL2205,cc1
18467-2504030745--32385-1-10968-2504031243,C$581,2988,2025-04-03 7:45,2025-04-03 10:08,1,Air Canada,United,False,0.61953,2025-04-03,7:45:00,2025-04-03,10:08:00,2.38,YYZ,ATL,FL2988,cc2
18467-2504030745--32385-1-10968-2504031243,C$581,414,2025-04-03 11:22,2025-04-03 12:43,1,Air Canada,Jazz Aviation,False,0.61953,2025-04-03,11:22:00,2025-04-03,12:43:00,2.35,ATL,DFW,FL414,cc2
18467-2504030745--32385-1-10968-2504031243,C$581,414,2025-04-03 11:22,2025-04-03 12:43,1,Air Canada,Jazz Aviation,False,0.61953,2025-04-03,11:22:00,2025-04-03,12:43:00,2.35,YYZ,YUL,FL414,cc2
18467-2504030615--32385-1-10910-2504031126,C$581,2662,2025-04-03 6:15,2025-04-03 8:44,1,Air Canada,United,False,0.596392,2025-04-03,6:15:00,2025-04-03,8:44:00,2.48,YYZ,ATL,FL2662,cc2
18467-2504031815--32385-1-10968-2504032357,C$581,2714,2025-04-03 18:15,2025-04-03 20:39,1,Air Canada,United,False,0.550844,2025-04-03,18:15:00,2025-04-03,20:39:00,2.4,YYZ,ATL,FL2714,cc2
18467-2504031815--32385-1-10968-2504032357,C$581,818,2025-04-03 22:34,2025-04-03 23:57,1,Air Canada,United,False,0.550844,2025-04-03,22:34:00,2025-04-03,23:57:00,2.38,ATL,DFW,FL818,cc2
18467-2504030600--32385-1-10968-2504031158,C$560,5066,2025-04-03 6:00,2025-04-03 8:00,1,Air Canada,Air Canada,False,0.567201,2025-04-03,6:00:00,2025-04-03,8:00:00,2.0,YYZ,JFK,FL5066,cc2
18467-2504030600--32385-1-10968-2504031158,C$560,356,2025-04-03 8:45,2025-04-03 11:58,1,Air Canada,United,False,0.567201,2025-04-03,8:45:00,2025-04-03,11:58:00,4.22,JFK,DFW,FL356,cc2
18467-2504031324--32573-0-10968-2504031614,C$593,3993,2025-04-03 13:24,2025-04-03 16:14,0,United,Air Canada,False,0.999,2025-04-03,13:24:00,2025-04-03,16:14:00,3.83,YYZ,DFW,FL3993,cc3
18467-2504030645--32573-0-10968-2504030940,C$649,1169,2025-04-03 6:45,2025-04-03 9:40,0,United,Air Canada,False,0.800869,2025-04-03,6:45:00,2025-04-03,9:40:00,3.92,YYZ,DFW,FL1169,cc3
18467-2504031715--32573-0-10968-2504032010,C$788,1111,2025-04-03 17:15,2025-04-03 20:10,0,Delta,Delta,False,0.736555,2025-04-03,17:15:00,2025-04-03,20:10:00,3.92,YYZ,DFW,FL1111,cc3
18467-2504031400--31722-0-10968-2504031634,C$596,8130,2025-04-03 14:00,2025-04-03 16:34,0,Delta,Delta,False,0.999,2025-04-03,14:00:00,2025-04-03,16:34:00,3.57,YYZ,DFW,FL8130,cc4
18467-2504031940--31722-0-10968-2504032214,C$596,8019,2025-04-03 19:40,2025-04-03 22:14,0,American Airlines,American Airlines,False,0.781093,2025-04-03,19:40:00,2025-04-03,22:14:00,3.57,YYZ,DFW,FL8019,cc4
18467-2504030615--32573-1-10968-2504031047,C$549,3524,2025-04-03 6:15,2025-04-03 7:30,1,American Airlines,American Airlines,False,0.562752,2025-04-03,6:15:00,2025-04-03,7:30:00,2.25,YYZ,ORD,FL3524,cc4
18467-2504030615--32573-1-10968-2504031047,C$549,481,2025-04-03 8:05,2025-04-03 10:47,1,United,United,False,0.562752,2025-04-03,8:05:00,2025-04-03,10:47:00,2.7,ORD,DFW,FL481,cc4
18467-2504040745--31679-1-10968-2504041243,C$486,6340,2025-04-04 7:45,2025-04-04 10:08,1,United,United,False,0.41877,2025-04-04,7:45:00,2025-04-04,10:08:00,2.38,YYZ,ATL,FL6340,cc1
18467-2504040745--31679-1-10968-2504041243,C$486,6482,2025-04-04 11:22,2025-04-04 12:43,1,American Airlines,PSA Airlines AS American Eagle,False,0.41877,2025-04-04,11:22:00,2025-04-04,12:43:00,2.35,ATL,DFW,FL6482,cc1
18467-2504040615--31679-1-10910-2504041126,C$489,8135,2025-04-04 6:15,2025-04-04 8:44,1,American Airlines,American Airlines,False,0.407997,2025-04-04,6:15:00,2025-04-04,8:44:00,2.48,YYZ,ATL,FL8135,cc1
18467-2504041815--31679-1-10968-2504042357,C$457,6768,2025-04-04 18:15,2025-04-04 20:39,1,American Airlines,PSA Airlines AS American Eagle,False,0.39218,2025-04-04,18:15:00,2025-04-04,20:39:00,2.4,YYZ,ATL,FL6768,cc1
18467-2504041815--31679-1-10968-2504042357,C$457,6499,2025-04-04 22:34,2025-04-04 23:57,1,American Airlines,American Airlines,False,0.39218,2025-04-04,22:34:00,2025-04-04,23:57:00,2.38,ATL,DFW,FL6499,cc1
18467-2504040745--31679-1-10910-2504041513,C$460,6340,2025-04-04 7:45,2025-04-04 10:08,1,American Airlines,Piedmont Airlines,False,0.395028,2025-04-04,7:45:00,2025-04-04,10:08:00,2.38,YYZ,ATL,FL6340,cc1
18467-2504040615--31679-1-10910-2504041513,C$460,8135,2025-04-04 6:15,2025-04-04 8:44,1,American Airlines,American Airlines,False,0.398432,2025-04-04,6:15:00,2025-04-04,8:44:00,2.48,YYZ,ATL,FL8135,cc1
18467-2504040615--32385-1-10910-2504041126,C$581,2662,2025-04-04 6:15,2025-04-04 8:44,1,United,United,False,0.496925,2025-04-04,6:15:00,2025-04-04,8:44:00,2.48,YYZ,ATL,FL2662,cc2
18467-2504041815--32385-1-10968-2504042357,C$581,2714,2025-04-04 18:15,2025-04-04 20:39,1,United,United,False,0.494753,2025-04-04,18:15:00,2025-04-04,20:39:00,2.4,YYZ,ATL,FL2714,cc2
18467-2504041815--32385-1-10968-2504042357,C$581,818,2025-04-04 22:34,2025-04-04 23:57,1,American Airlines,Piedmont Airlines,False,0.494753,2025-04-04,22:34:00,2025-04-04,23:57:00,2.38,ATL,DFW,FL818,cc2
18467-2504040600--32385-1-10968-2504041158,C$560,5066,2025-04-04 6:00,2025-04-04 8:00,1,American Airlines,American Airlines,False,0.475955,2025-04-04,6:00:00,2025-04-04,8:00:00,2.0,YYZ,JFK,FL5066,cc2
18467-2504040600--32385-1-10968-2504041158,C$560,356,2025-04-04 8:45,2025-04-04 11:58,1,American Airlines,American Airlines,False,0.475955,2025-04-04,8:45:00,2025-04-04,11:58:00,4.22,JFK,DFW,FL356,cc2
18467-2504041720--32573-0-10968-2504042000,C$527,1111,2025-04-04 17:20,2025-04-04 20:00,0,American Airlines,American Airlines,False,0.999,2025-04-04,17:20:00,2025-04-04,20:00:00,3.67,YYZ,DFW,FL1111,cc3
18467-2504040645--32573-0-10968-2504040929,C$649,1169,2025-04-04 6:45,2025-04-04 9:29,0,American Airlines,American Airlines,False,0.798421,2025-04-04,6:45:00,2025-04-04,9:29:00,3.73,YYZ,DFW,FL1169,cc3
18467-2504041329--32573-0-10968-2504041614,C$593,3993,2025-04-04 13:29,2025-04-04 16:14,0,Delta,Delta,False,0.931966,2025-04-04,13:29:00,2025-04-04,16:14:00,3.75,YYZ,DFW,FL3993,cc3
18467-2504041514--32573-1-10968-2504041916,"C$1,173",3608,2025-04-04 15:14,2025-04-04 16:09,1,Delta,Delta,False,0.488692,2025-04-04,15:14:00,2025-04-04,16:09:00,1.92,YYZ,ORD,FL3608,cc4
18467-2504041514--32573-1-10968-2504041916,"C$1,173",2499,2025-04-04 16:45,2025-04-04 19:16,1,American Airlines,Envoy Air,False,0.488692,2025-04-04,16:45:00,2025-04-04,19:16:00,2.52,ORD,DFW,FL2499,cc4
18467-2504040630--32573-1-10968-2504041056,C$809,3524,2025-04-04 6:30,2025-04-04 7:25,1,American Airlines,American Airlines,False,0.537924,2025-04-04,6:30:00,2025-04-04,7:25:00,1.92,YYZ,ORD,FL3524,cc4
18467-2504040630--32573-1-10968-2504041056,C$809,481,2025-04-04 8:15,2025-04-04 10:56,1,Delta,Delta,False,0.537924,2025-04-04,8:15:00,2025-04-04,10:56:00,2.68,ORD,DFW,FL481,cc4
18467-2504041315--32573-1-10968-2504041756,C$809,3606,2025-04-04 13:15,2025-04-04 14:10,1,Delta,Delta,False,0.506744,2025-04-04,13:15:00,2025-04-04,14:10:00,1.92,YYZ,ORD,FL3606,cc4
18467-2504041315--32573-1-10968-2504041756,C$809,2257,2025-04-04 15:18,2025-04-04 17:56,1,Delta,Endeavor Air,False,0.506744,2025-04-04,15:18:00,2025-04-04,17:56:00,2.63,ORD,DFW,FL2257,cc4
18467-2504051220--31679-1-10968-2504051646,C$457,7789,2025-04-05 12:20,2025-04-05 14:37,1,Delta,Delta,False,0.999,2025-04-05,12:20:00,2025-04-05,14:37:00,2.28,YYZ,ATL,FL7789,cc1
18467-2504051220--31679-1-10968-2504051646,C$457,6498,2025-04-05 15:25,2025-04-05 16:46,1,Delta,Endeavor Air,False,0.999,2025-04-05,15:25:00,2025-04-05,16:46:00,2.35,ATL,DFW,FL6498,cc1
18467-2504050745--31679-1-10968-2504051243,C$457,6340,2025-04-05 7:45,2025-04-05 10:08,1,Delta,Delta,False,0.65733,2025-04-05,7:45:00,2025-04-05,10:08:00,2.38,YYZ,ATL,FL6340,cc1
18467-2504050745--31679-1-10968-2504051243,C$457,6482,2025-04-05 11:22,2025-04-05 12:43,1,American Airlines,Piedmont Airlines,False,0.65733,2025-04-05,11:22:00,2025-04-05,12:43:00,2.35,ATL,DFW,FL6482,cc1
18467-2504051815--31679-1-10968-2504052357,C$457,6768,2025-04-05 18:15,2025-04-05 20:39,1,American Airlines,American Airlines,False,0.600266,2025-04-05,18:15:00,2025-04-05,20:39:00,2.4,YYZ,ATL,FL6768,cc1
18467-2504051815--31679-1-10968-2504052357,C$457,6499,2025-04-05 22:34,2025-04-05 23:57,1,American Airlines,Republic Airline,False,0.600266,2025-04-05,22:34:00,2025-04-05,23:57:00,2.38,ATL,DFW,FL6499,cc1
18467-2504050615--31679-1-10968-2504051243,C$457,8135,2025-04-05 6:15,2025-04-05 8:46,1,American Airlines,American Airlines,False,0.55059,2025-04-05,6:15:00,2025-04-05,8:46:00,2.52,YYZ,ATL,FL8135,cc1
18467-2504050615--31679-1-10968-2504051243,C$457,6482,2025-04-05 11:22,2025-04-05 12:43,1,Delta,Delta,False,0.55059,2025-04-05,11:22:00,2025-04-05,12:43:00,2.35,ATL,DFW,FL6482,cc1
18467-2504051220--32385-1-10968-2504051646,C$608,2835,2025-04-05 12:20,2025-04-05 14:37,1,Delta,Delta,False,0.999,2025-04-05,12:20:00,2025-04-05,14:37:00,2.28,YYZ,ATL,FL2835,cc2
18467-2504051220--32385-1-10968-2504051646,C$608,374,2025-04-05 15:25,2025-04-05 16:46,1,Delta,Delta,False,0.999,2025-04-05,15:25:00,2025-04-05,16:46:00,2.35,ATL,DFW,FL374,cc2
18467-2504050615--32385-1-10910-2504051105,C$581,2662,2025-04-05 6:15,2025-04-05 8:46,1,Delta,Delta,False,0.561613,2025-04-05,6:15:00,2025-04-05,8:46:00,2.52,YYZ,ATL,FL2662,cc2
18467-2504050745--32385-1-10968-2504051243,C$581,2988,2025-04-05 7:45,2025-04-05 10:08,1,Delta,Delta,False,0.556429,2025-04-05,7:45:00,2025-04-05,10:08:00,2.38,YYZ,ATL,FL2988,cc2
18467-2504050745--32385-1-10968-2504051243,C$581,414,2025-04-05 11:22,2025-04-05 12:43,1,Delta,Delta,False,0.556429,2025-04-05,11:22:00,2025-04-05,12:43:00,2.35,ATL,DFW,FL414,cc2
18467-2504050745--32385-1-10968-2504051243,C$581,414,2025-04-05 11:22,2025-04-05 12:43,1,Delta,Delta,False,0.556429,2025-04-05,11:22:00,2025-04-05,12:43:00,2.35,YYZ,YUL,FL414,cc2
18467-2504051220--32385-1-10910-2504051751,C$608,2835,2025-04-05 12:20,2025-04-05 14:37,1,Delta,Endeavor Air,False,0.51274,2025-04-05,12:20:00,2025-04-05,14:37:00,2.28,YYZ,ATL,FL2835,cc2
18467-2504051815--32385-1-10968-2504052357,C$581,2714,2025-04-05 18:15,2025-04-05 20:39,1,Delta,Delta,False,0.498563,2025-04-05,18:15:00,2025-04-05,20:39:00,2.4,YYZ,ATL,FL2714,cc2
18467-2504051815--32385-1-10968-2504052357,C$581,818,2025-04-05 22:34,2025-04-05 23:57,1,Delta,Delta,False,0.498563,2025-04-05,22:34:00,2025-04-05,23:57:00,2.38,ATL,DFW,FL818,cc2
18467-2504051720--32573-0-10968-2504052000,C$527,1111,2025-04-05 17:20,2025-04-05 20:00,0,Delta,Delta,False,0.82165,2025-04-05,17:20:00,2025-04-05,20:00:00,3.67,YYZ,DFW,FL1111,cc3
18467-2504050645--32573-0-10968-2504050929,C$788,1169,2025-04-05 6:45,2025-04-05 9:29,0,Delta,Endeavor Air,False,0.550725,2025-04-05,6:45:00,2025-04-05,9:29:00,3.73,YYZ,DFW,FL1169,cc3
18467-2504051329--32573-0-10968-2504051614,C$555,3993,2025-04-05 13:29,2025-04-05 16:14,0,Delta,Delta,False,0.999,2025-04-05,13:29:00,2025-04-05,16:14:00,3.75,YYZ,DFW,FL3993,cc3
18467-2504051400--31722-0-10968-2504051634,C$596,8130,2025-04-05 14:00,2025-04-05 16:34,0,Delta,Delta,False,0.999,2025-04-05,14:00:00,2025-04-05,16:34:00,3.57,YYZ,DFW,FL8130,cc4
18467-2504051940--31722-0-10968-2504052214,C$596,8019,2025-04-05 19:40,2025-04-05 22:14,0,Delta,Delta,False,0.745038,2025-04-05,19:40:00,2025-04-05,22:14:00,3.57,YYZ,DFW,FL8019,cc4
18467-2504050630--32573-1-10968-2504051056,C$809,3524,2025-04-05 6:30,2025-04-05 7:25,1,Delta,Delta,False,0.381885,2025-04-05,6:30:00,2025-04-05,7:25:00,1.92,YYZ,ORD,FL3524,cc4
18467-2504050630--32573-1-10968-2504051056,C$809,481,2025-04-05 8:15,2025-04-05 10:56,1,Delta,Delta,False,0.381885,2025-04-05,8:15:00,2025-04-05,10:56:00,2.68,ORD,DFW,FL481,cc4
18467-2504050615--32385-1-10910-2504051105,C$770,2662,2025-04-05 6:15,2025-04-05 8:46,1,Delta,Endeavor Air,False,0.386668,2025-04-05,6:15:00,2025-04-05,8:46:00,2.52,YYZ,ATL,FL2662,cc4
18467-2504050800--31722-1-10968-2504051322,C$618,8533,2025-04-05 8:00,2025-04-05 8:55,1,Delta,Delta,False,0.377554,2025-04-05,8:00:00,2025-04-05,8:55:00,1.92,YYZ,ORD,FL8533,cc4
18467-2504050800--31722-1-10968-2504051322,C$618,307,2025-04-05 10:35,2025-04-05 13:22,1,Delta,Endeavor Air,False,0.377554,2025-04-05,10:35:00,2025-04-05,13:22:00,2.78,ORD,DFW,FL307,cc4
18467-2504050700--31722-1-10968-2504051322,C$618,3449,2025-04-05 7:00,2025-04-05 8:03,1,Delta,Delta,False,0.376416,2025-04-05,7:00:00,2025-04-05,8:03:00,2.05,YYZ,ORD,FL3449,cc4
18467-2504050700--31722-1-10968-2504051322,C$618,307,2025-04-05 10:35,2025-04-05 13:22,1,American Airlines,American Airlines,False,0.376416,2025-04-05,10:35:00,2025-04-05,13:22:00,2.78,ORD,DFW,FL307,cc4
"18390-2504060700--31954,-31825-2-10968-2504061735",C$329,2205,2025-04-06 7:00,2025-04-06 7:59,2,American Airlines,American Airlines,True,0.527687,2025-04-06,7:00:00,2025-04-06,7:59:00,0.98,YTZ,YOW,FL2205,cc1
"18390-2504061155--31954,-31825-2-10968-2504062254",C$370,611,2025-04-06 21:15,2025-04-06 22:54,2,American Airlines,American Airlines,True,0.461967,2025-04-06,21:15:00,2025-04-06,22:54:00,2.65,ATL,DFW,FL611,cc1
"18390-2504060700--31954,-31825-3-10968-2504062358",C$296,2205,2025-04-06 7:00,2025-04-06 7:59,3,Air Canada,Air Canada,True,0.440615,2025-04-06,7:00:00,2025-04-06,7:59:00,0.98,YTZ,YOW,FL2205,cc1
18467-2504060615--32385-1-10910-2504061126,C$581,2662,2025-04-06 6:15,2025-04-06 8:44,1,Air Canada,Air Canada,False,0.506441,2025-04-06,6:15:00,2025-04-06,8:44:00,2.48,YYZ,ATL,FL2662,cc2
18467-2504060600--32385-1-10968-2504061158,C$560,5066,2025-04-06 6:00,2025-04-06 8:00,1,Air Canada,United,False,0.489284,2025-04-06,6:00:00,2025-04-06,8:00:00,2.0,YYZ,JFK,FL5066,cc2
18467-2504060600--32385-1-10968-2504061158,C$560,356,2025-04-06 8:45,2025-04-06 11:58,1,Air Canada,United,False,0.489284,2025-04-06,8:45:00,2025-04-06,11:58:00,4.22,JFK,DFW,FL356,cc2
18467-2504061720--32573-0-10968-2504062000,C$527,1111,2025-04-06 17:20,2025-04-06 20:00,0,Air Canada,Jazz Aviation,False,0.999,2025-04-06,17:20:00,2025-04-06,20:00:00,3.67,YYZ,DFW,FL1111,cc3
18467-2504060645--32573-0-10968-2504060929,C$649,1169,2025-04-06 6:45,2025-04-06 9:29,0,Air Canada,United,False,0.794794,2025-04-06,6:45:00,2025-04-06,9:29:00,3.73,YYZ,DFW,FL1169,cc3
